Address,Area,Rooms,Bathrooms,Garage Cars,Price
"Rua Arício Guimarães Fortes, 853 - Atalaia, Aracaju - SE",650,4,6,"
                  4
                ","
                            R$ 1.700.000
                    "
"São Conrado, Aracaju - SE",200,3,2,"
                  2
                ","
                            R$ 280.000
                    "
"Avenida Silvério Leite Fontes - Aruana, Aracaju - SE",250,3,2,"
                  2
                ","
                            R$ 330.000
                    "
"Rua Santo Agostinho, 52 - Farolândia, Aracaju - SE",180,3,3,"
                  2
                ","
                            R$ 380.000
                    "
"Avenida Conselheiro João Moreira Filho - Atalaia, Aracaju - SE",435,4,5,"
                  4
                ","
                            R$ 1.280.000
                    "
"Rua E, 32 - Zona de Expansao Aruana, Aracaju - SE",200,3,3,"
                  4
                ","
                            R$ 280.000
                    "
"Rua Manoel Andrade, 2010 - Coroa do Meio, Aracaju - SE",250,3,3,"
                  8
                ","
                            R$ 750.000
                    "
"Rua A - Robalo, Aracaju - SE",250,3,2,"
                  3
                ","
                            R$ 500.000
                    "
"Rua Anatólio Garcia Moreno, 50 - Santo Antônio, Aracaju - SE",120,3,4,"
                  1
                ","
                            R$ 230.000
                    "
"Avenida Via Oceânica - Centro, Barra dos Coqueiros - SE",300,4,5,"
                  4
                ","
                            R$ 1.800.077
                    "
"Rua de Riachão - Suíssa, Aracaju - SE",174,3,1,"
                  --
                ","
                            R$ 190.121
                    "
"Rua Firmino Fontes - Atalaia, Aracaju - SE",120,3,3,"
                  2
                ","
                            R$ 393.000
                    "
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",280,4,3,"
                  4
                ","
                            R$ 898.000
                    "
"Avenida Hermes Fontes - Suíssa, Aracaju - SE",60,2,3,"
                  1
                ","
                            R$ 220.017
                    "
"Avenida Silvério Leite Fontes, 10 - Aruana, Aracaju - SE",200,4,1,"
                  2
                ","
                            R$ 345.000
                    "
"Rua Alagoas - José Conrado de Araújo, Aracaju - SE",93,3,1,"
                  1
                ","
                            R$ 180.000
                    "
"Coroa do Meio, Aracaju - SE",448,4,4,"
                  5
                ","
                            R$ 650.000
                    "
"Rua Padre Nestor Sampaio, 704 - Luzia, Aracaju - SE",247,5,5,"
                  2
                ","
                            R$ 699.000
                    "
"Rua Deputado Clóvis Rollemberg, 458 - Atalaia, Aracaju - SE",300,5,5,"
                  4
                ","
                            R$ 730.000
                    "
"Rua Frei Luiz Canolo de Noronha - Ponto Novo, Aracaju - SE",340,3,2,"
                  2
                ","
                            R$ 350.012
                    "
"Rua Antônio Andrade, 1288 - Coroa do Meio, Aracaju - SE",621,4,4,"
                  1
                ","
                            R$ 850.000
                    "
"Avenida Santa Gleide, 320 - Olaria, Aracaju - SE",50,2,1,"
                  1
                ","
                            R$ 210.000
                    "
"Rua Dezoito do Forte, 60 - Dezoito do Forte, Aracaju - SE",240,10,6,"
                  1
                ","
                            R$ 400.000
                    "
"Rua da Concórdia, 10 - Atalaia, Aracaju - SE",365,3,5,"
                  4
                ","
                            R$ 1.500.000
                    "
"Avenida Antônio Severiano de Assis, 1 - Jabotiana, Aracaju - SE",200,2,1,"
                  2
                ","
                            R$ 290.000
                    "
"Rua Praia de Atalaia - Aruana, Aracaju - SE",120,3,2,"
                  2
                ","
                            R$ 420.000
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.041
                    "
Nossa Senhora do Socorro - SE,60,2,2,"
                  1
                ","
                            R$ 140.092
                    "
"Rua Niceu Dantas - Atalaia, Aracaju - SE",520,5,5,"
                  1
                ","
                            R$ 1.100.040
                    "
"Rua Maria do Carmo Batista Santos - Santa Maria, Aracaju - SE",57,2,2,"
                  1
                ","
                            R$ 164.999
                    "
"Rua Tênisson Ribeiro, 265 - Salgado Filho, Aracaju - SE",350,4,5,"
                  5
                ","
                            R$ 950.000
                    "
"Rua Professora Maria Terezinha Pinto Siqueira - Aruana, Aracaju - SE",250,3,3,"
                  1
                ","
                            R$ 330.000
                    "
"Avenida Doutor José Calumby, 1003 - Suíssa, Aracaju - SE",120,5,3,"
                  2
                ","
                            R$ 480.000
                    "
"Rua Oliveira Ribeiro, 266 - Santo Antônio, Aracaju - SE",350,5,5,"
                  3
                ","
                            R$ 650.000
                    "
"Avenida Inácio Barbosa, 14698 - Zona de Expansao Mosqueiro, Aracaju - SE",220,3,3,"
                  4
                ","
                            R$ 590.000
                    "
"Travessa Fonte Grande - Industrial, Aracaju - SE",68,1,1,"
                  --
                ","
                            R$ 115.109
                    "
"Rua José de Melo, 36 - Dom Luciano, Aracaju - SE",100,2,1,"
                  1
                ","
                            R$ 115.500
                    "
"Avenida Augusto Maynard, 138 - São José, Aracaju - SE",295,3,2,"
                  1
                ","
                            R$ 570.000
                    "
"Rua Deputado Antônio Torres, 555 - Cirurgia, Aracaju - SE",231,2,1,"
                  2
                ","
                            R$ 350.000
                    "
"Rua Isabel Dória Leite, 68 - Aeroporto, Aracaju - SE",300,4,2,"
                  2
                ","
                            R$ 300.000
                    "
"Rua Professora Iria Sá dos Santos - Aeroporto, Aracaju - SE",90,3,2,"
                  3
                ","
                            R$ 330.052
                    "
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",233,3,5,"
                  4
                ","
                            R$ 970.011
                    "
"Rua Ribeirópolis, 1353 - Suíssa, Aracaju - SE",300,5,5,"
                  6
                ","
                            R$ 480.000
                    "
"Avenida Melício Machado, 3700 - Atalaia, Aracaju - SE",250,3,3,"
                  2
                ","
                            R$ 790.000
                    "
"Rua G, 201 - Aruana, Aracaju - SE",200,3,1,"
                  2
                ","
                            R$ 300.000
                    "
"Rua Maria das Graças Menezes Moura, 46 - São Conrado, Aracaju - SE",160,4,2,"
                  1
                ","
                            R$ 350.000
                    "
"Avenida Doutor Edelzio Vieira de Melo, 409 - Suíssa, Aracaju - SE",275,5,3,"
                  2
                ","
                            R$ 740.000
                    "
"Rua Maria da Glória Cruz, 100 - Aruana, Aracaju - SE",205,3,4,"
                  3
                ","
                            R$ 400.000
                    "
"Aruana, Aracaju - SE",180,2,2,"
                  2
                ","
                            R$ 250.003
                    "
"Rua Sargento José Damasceno Filho - São Conrado, Aracaju - SE",300,5,5,"
                  2
                ","
                            R$ 460.000
                    "
"Rua Francisco Rabelo Leite Neto, 1 - Atalaia, Aracaju - SE",840,6,2,"
                  6
                ","
                            R$ 1.600.000
                    "
"Santa Maria, Aracaju - SE",70,2,1,"
                  --
                ","
                            R$ 145.000
                    "
"Rua Josafá Simões Mariu, 74 - Luzia, Aracaju - SE",235,4,3,"
                  3
                ","
                            R$ 600.000
                    "
"Rua K, 72 - Aruana, Aracaju - SE",375,5,2,"
                  5
                ","
                            R$ 780.000
                    "
"Rua Américo Curvelo, 00 - Salgado Filho, Aracaju - SE",129,3,2,"
                  1
                ","
                            R$ 340.000
                    "
"Rua Moreira Guimarães - Dezoito do Forte, Aracaju - SE",180,4,2,"
                  2
                ","
                            R$ 310.048
                    "
"Suíssa, Aracaju - SE",145,3,1,"
                  1
                ","
                            R$ 400.000
                    "
"Santa Lúcia, São Cristóvão - SE",75,3,2,"
                  1
                ","
                            R$ 230.000
                    "
"Rua Reginaldo Passos Pina, 313 - Inácio Barbosa, Aracaju - SE",318,4,3,"
                  3
                ","
                            R$ 930.000
                    "
"Rua Marcolino Messias Ramos, 130-06 - Farolândia, Aracaju - SE",85,3,2,"
                  1
                ","
                            R$ 270.000
                    "
"Avenida Inácio Barbosa - sao-jose-dos-naufragos, Aracaju - SE",1500,5,3,"
                  5
                ","
                            R$ 3.500.190
                    "
"Rua Seis, 0 - Soledade, Aracaju - SE",160,3,1,"
                  --
                ","
                            R$ 180.000
                    "
"Rua Simeão Aguiar, 19 - José Conrado de Araújo, Aracaju - SE",270,3,2,"
                  4
                ","
                            R$ 399.950
                    "
"Rua N, 103 - Aruana, Aracaju - SE",160,3,2,"
                  5
                ","
                            R$ 215.000
                    "
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",195,3,3,"
                  2
                ","
                            R$ 879.052
                    "
"Rua Poeta José Salles de Campos, 1779 - Coroa do Meio, Aracaju - SE",250,5,5,"
                  --
                ","
                            R$ 600.000
                    "
"Rua Santo Agostinho - Farolândia, Aracaju - SE",180,3,3,"
                  2
                ","
                            R$ 380.121
                    "
"Rua Dois, 800 - Augusto Franco, Aracaju - SE",280,4,4,"
                  2
                ","
                            R$ 549.900
                    "
"Farolândia, Aracaju - SE",100,3,2,"
                  2
                ","
                            R$ 360.000
                    "
"Aruana, Aracaju - SE",150,3,2,"
                  2
                ","
                            R$ 650.000
                    "
"Rua Antônio Andrade - Coroa do Meio, Aracaju - SE",450,5,4,"
                  5
                ","
                            R$ 840.000
                    "
"Rua Antônio do Nascimento Rodrigues - Jabotiana, Aracaju - SE",125,3,3,"
                  3
                ","
                            R$ 500.000
                    "
"Praça Saturnino de Brito, 446 - Suíssa, Aracaju - SE",150,3,1,"
                  1
                ","
                            R$ 200.000
                    "
"Rua Campo do Brito, 717 - Treze de Julho, Aracaju - SE",306,5,5,"
                  2
                ","
                            R$ 550.000
                    "
"Rua Gidalvo Dionízio dos Santos, 0 - São Conrado, Aracaju - SE",100,3,2,"
                  1
                ","
                            R$ 210.000
                    "
"Jardins, Aracaju - SE",200,4,4,"
                  3
                ","
                            R$ 680.000
                    "
"Praça Franklin Delano Roosevelt, 7 - América, Aracaju - SE",205,4,2,"
                  1
                ","
                            R$ 370.000
                    "
"Rua Tasso Sobral, 85 - Grageru, Aracaju - SE",300,3,6,"
                  3
                ","
                            R$ 950.000
                    "
"Rua Maria da Glória Cruz, 123 - Zona de Expansao Aruana, Aracaju - SE",250,5,4,"
                  3
                ","
                            R$ 545.000
                    "
"Avenida Inácio Barbosa, 720 - Zona de Expansao Mosqueiro, Aracaju - SE",150,3,2,"
                  4
                ","
                            R$ 380.000
                    "
"Rua B25, 960 - Mosqueiro, Aracaju - SE",453,5,3,"
                  5
                ","
                            R$ 1.000.000
                    "
"Rua Anatólio Garcia Moreno - Industrial, Aracaju - SE",120,2,1,"
                  --
                ","
                            R$ 130.000
                    "
"Rua General João Augusto dos Reis, 71 - São Conrado, Aracaju - SE",162,3,2,"
                  2
                ","
                            R$ 340.000
                    "
"Avenida Melício Machado - Aeroporto, Aracaju - SE",320,5,5,"
                  2
                ","
                            R$ 680.194
                    "
"Avenida Mario Jorge Menezes Vieira - Coroa do Meio, Aracaju - SE",250,3,2,"
                  5
                ","
                            R$ 1.200.000
                    "
"Rua Capitão José Machado, 68 - Ponto Novo, Aracaju - SE",99,3,1,"
                  --
                ","
                            R$ 150.000
                        
Preço abaixo do mercado

"
"Rua Renato Santos Teixeira, 51 - Luzia, Aracaju - SE",225,3,3,"
                  2
                ","
                            R$ 450.000
                    "
"Travessa São Francisco de Assis, 1 - Robalo, Aracaju - SE",500,8,8,"
                  6
                ","
                            R$ 1.550.000
                    "
"Rua Lino Bispo Maia - Mosqueiro, Aracaju - SE",130,4,2,"
                  2
                ","
                            R$ 150.060
                    "
"Rua Manoel Andrade, 1 - Coroa do Meio, Aracaju - SE",420,4,5,"
                  6
                ","
                            R$ 990.000
                    "
"Atalaia, Aracaju - SE",225,3,3,"
                  3
                ","
                            R$ 650.000
                    "
"Rua E, 58 - Zona de Expansao Aruana, Aracaju - SE",230,3,2,"
                  2
                ","
                            R$ 390.000
                    "
"Avenida Conselheiro João Moreira Filho, 1 - Atalaia, Aracaju - SE",560,4,5,"
                  3
                ","
                            R$ 980.000
                    "
"Rua Deputado Euclides Paes Mendonça, 839 - Salgado Filho, Aracaju - SE",198,4,3,"
                  1
                ","
                            R$ 550.000
                    "
"Rua C - Aruana, Aracaju - SE",115,3,3,"
                  3
                ","
                            R$ 480.043
                    "
"Rua Deuzinha Vieira - Aruana, Aracaju - SE",200,2,1,"
                  2
                ","
                            R$ 250.004
                    "
"Avenida Central, 250 - Olaria, Aracaju - SE",120,2,2,"
                  2
                ","
                            R$ 270.000
                    "
"Rua C, 4379 - Santos Dumont, Aracaju - SE",110,3,2,"
                  1
                ","
                            R$ 250.021
                    "
"Farolândia, Aracaju - SE",220,3,2,"
                  3
                ","
                            R$ 650.000
                    "
"Travessa São João Batista, 172 - Ponto Novo, Aracaju - SE",10,4,3,"
                  1
                ","
                            R$ 270.000
                    "
"Rua Doutor José Luciano Siqueira - Suíssa, Aracaju - SE",300,5,5,"
                  4
                ","
                            R$ 550.000
                    "
"Rua Vereador Oscar Leal, 417 - Pereira Lobo, Aracaju - SE",100,3,1,"
                  1
                ","
                            R$ 350.000
                    "
"Rua Expedicionário Lourival Silva, 240 - Aruana, Aracaju - SE",200,2,2,"
                  1
                ","
                            R$ 320.000
                    "
"Rua Percílio da Costa Andrade - Treze de Julho, Aracaju - SE",202,5,5,"
                  1
                ","
                            R$ 799.029
                    "
"Rua José Cunha Alcântara, 302 - Farolândia, Aracaju - SE",180,5,2,"
                  2
                ","
                            R$ 430.000
                    "
"Rua Carlos Cabral Duarte, 43 - Pereira Lobo, Aracaju - SE",240,3,2,"
                  3
                ","
                            R$ 325.000
                    "
"Avenida José Vicente de Almeida, 150 - Aruana, Aracaju - SE",200,3,3,"
                  2
                ","
                            R$ 890.014
                    "
